patient_id,first_name,last_name,ssn,dob,age,phone,email,street,city,state,zip,mrn,diagnosis,visit_date,blood_pressure,heart_rate,temperature_f,weight_kg,height_cm,glucose_mg_dl,cholesterol_mg_dl
P0033,William,Rodriguez,146-16-5786,1991-01-15,34,555-989-9042,william.rodriguez14@email.com,300 Elm Rd,Charlotte,FL,67733,MRN457256,Heart Failure,2025-11-02,122/90,67,99.1,78.0,154,83,188
P0034,Barbara,Sanchez,676-48-2395,1976-10-11,49,555-671-7818,barbara.sanchez78@email.com,9866 Elm Ave,San Francisco,PA,69049,MRN564226,Osteoarthritis,2025-01-31,144/79,96,98.6,92.7,156,123,204
P0035,Thomas,Perez,183-30-4929,1985-03-01,40,555-176-3564,thomas.perez1@email.com,6793 Pine Dr,Charlotte,TX,14278,MRN342720,Osteoarthritis,2024-12-02,126/104,89,97.2,66.3,166,120,258
P0036,Linda,Moore,330-92-3441,1973-09-30,52,555-173-1977,linda.moore22@email.com,5139 Elm Dr,Dallas,FL,26299,MRN591465,Back Pain,2025-06-26,179/85,77,98.3,84.6,155,80,260
P0037,Christopher,Martin,356-13-2496,1977-12-30,47,555-956-1339,christopher.martin98@email.com,4515 Elm St,Phoenix,FL,78021,MRN783157,Atrial Fibrillation,2025-07-09,113/97,87,98.6,84.4,155,190,239
P0038,Anthony,Hernandez,428-95-2713,1987-06-23,38,555-521-9117,anthony.hernandez37@email.com,6661 Elm St,Columbus,NY,51224,MRN364659,Rheumatoid Arthritis,2025-09-30,141/92,60,98.6,88.0,176,83,198
P0039,Kimberly,Lopez,737-73-8242,2001-08-22,24,555-373-9998,kimberly.lopez17@email.com,4819 Pine Blvd,Los Angeles,MA,92578,MRN738448,Depression,2024-11-30,110/79,95,97.0,78.6,164,99,268
P0040,Linda,Lee,952-29-9165,1970-03-27,55,555-822-5479,linda.lee54@email.com,8005 Pine Ave,Columbus,OH,28958,MRN502219,Chronic Kidney Disease,2025-01-26,155/107,68,99.2,69.3,176,157,279
P0041,Sarah,Clark,102-46-5891,1932-02-29,93,555-775-9022,sarah.clark20@email.com,7416 Elm Blvd,Austin,AZ,82340,MRN899929,Pneumonia,2025-05-19,148/80,72,99.5,66.7,174,129,255
P0042,John,Hernandez,862-70-7246,1958-01-10,67,555-911-3492,john.hernandez64@email.com,706 Oak Dr,Seattle,AZ,23154,MRN986088,Atrial Fibrillation,2025-10-08,157/89,60,98.8,78.7,191,109,169
P0043,Donald,Sanchez,371-53-7512,1997-06-20,28,555-972-9742,donald.sanchez49@email.com,5288 Cedar Blvd,Indianapolis,MA,90931,MRN171744,Depression,2025-01-09,177/78,74,98.9,80.4,156,95,263
P0044,David,Thompson,406-13-1753,1966-11-15,59,555-400-6873,david.thompson48@email.com,7156 Oak Ave,San Francisco,PA,84177,MRN814919,Heart Failure,2025-09-02,112/65,99,99.2,93.4,165,197,299
P0045,Barbara,Davis,572-91-5161,1949-08-09,76,555-782-1153,barbara.davis60@email.com,4812 Cedar Dr,Phoenix,NY,67898,MRN462351,UTI,2025-06-28,171/87,76,98.1,71.1,174,193,177
P0046,Jessica,Gonzalez,685-55-5847,1970-12-01,55,555-949-7484,jessica.gonzalez36@email.com,232 Elm St,Denver,CO,75107,MRN973294,Osteoarthritis,2025-08-03,167/82,74,98.6,93.5,193,105,174
P0047,John,Martinez,907-66-1546,1933-06-18,92,555-849-3153,john.martinez12@email.com,4935 Maple Blvd,Phoenix,CA,27322,MRN924718,Pneumonia,2025-05-25,157/92,77,99.1,68.0,180,145,236
P0048,Linda,Anderson,177-28-4696,1957-03-05,68,555-474-2479,linda.anderson51@email.com,328 Maple Dr,Los Angeles,FL,58311,MRN805511,Osteoporosis,2024-12-19,123/97,84,99.1,115.8,156,129,270
P0049,Mary,Martin,674-51-4626,1999-01-14,26,555-943-8606,mary.martin90@email.com,5051 Cedar Blvd,Los Angeles,IL,15943,MRN139019,Osteoarthritis,2025-03-21,104/66,75,99.2,59.5,179,164,288
P0050,Anthony,Jackson,860-29-7797,1995-03-31,30,555-730-7686,anthony.jackson36@email.com,636 Cedar Rd,Philadelphia,FL,68287,MRN347582,Hyperlipidemia,2025-10-09,177/83,94,99.3,95.1,153,171,220
P0051,Richard,Brown,968-68-2501,1980-01-16,45,555-754-1349,richard.brown7@email.com,5564 Oak Ave,Seattle,CA,18992,MRN970127,Hypothyroidism,2025-02-18,116/97,73,99.0,66.3,159,70,220
P0052,Barbara,Jones,653-42-3858,1993-01-02,32,555-987-1422,barbara.jones17@email.com,343 Maple Ave,Seattle,AZ,12068,MRN282710,Anxiety Disorder,2025-11-02,106/107,86,98.3,102.2,180,184,242
P0053,Steven,Jackson,211-67-9254,1979-01-30,46,555-144-9543,steven.jackson39@email.com,7604 Cedar St,New York,FL,62640,MRN546980,Migraine,2025-10-04,152/105,88,97.2,55.7,188,107,166
P0054,William,Rodriguez,739-91-9984,1966-06-01,59,555-711-9692,william.rodriguez38@email.com,7533 Elm Dr,Fort Worth,NY,24996,MRN994217,GERD,2024-12-30,160/106,73,98.1,112.2,176,156,266
P0055,Betty,Wilson,847-22-6120,1953-07-09,72,555-781-5176,betty.wilson48@email.com,2600 Cedar Blvd,Chicago,NY,21188,MRN197758,Sleep Apnea,2025-10-10,137/68,95,97.1,117.0,185,154,181
P0056,Anthony,Lopez,994-95-7929,2001-07-10,24,555-714-6119,anthony.lopez46@email.com,1797 Elm Dr,Philadelphia,IL,96079,MRN605612,Depression,2025-10-04,134/95,83,97.3,69.5,164,179,293
P0057,Michelle,Martin,791-92-1430,1930-01-20,95,555-949-5381,michelle.martin4@email.com,3055 Maple Rd,San Jose,AZ,10800,MRN290217,Coronary Artery Disease,2025-02-12,174/85,64,97.4,94.3,151,93,285
P0058,Susan,Gonzalez,529-68-6585,1987-06-02,38,555-419-6314,susan.gonzalez73@email.com,9868 Main St,Houston,IL,90981,MRN152179,Migraine,2025-10-18,124/88,87,98.2,80.9,167,125,281
P0059,Linda,Lopez,540-24-5640,1932-04-16,93,555-639-6053,linda.lopez6@email.com,3712 Pine Dr,New York,MA,36794,MRN416061,Chronic Kidney Disease,2025-09-19,122/78,80,97.3,84.8,177,114,183
P0060,Matthew,Moore,820-39-9196,1936-01-13,89,555-925-6802,matthew.moore10@email.com,6605 Cedar St,Fort Worth,MA,70260,MRN181644,Rheumatoid Arthritis,2025-02-07,144/96,85,98.8,79.2,157,173,155
P0061,Christopher,Garcia,920-89-8538,1961-10-30,64,555-547-2734,christopher.garcia32@email.com,7238 Elm Blvd,San Francisco,NY,61873,MRN425346,Osteoporosis,2025-06-08,118/81,70,97.2,94.3,183,200,199
P0062,Daniel,Lopez,844-92-3419,1977-10-19,48,555-249-5193,daniel.lopez26@email.com,2942 Elm Ave,Chicago,IL,92306,MRN618119,Atrial Fibrillation,2025-02-13,164/88,96,98.6,119.1,170,150,188
P0063,Mark,Williams,580-66-5961,1972-02-13,53,555-157-6766,mark.williams65@email.com,1315 Maple Blvd,Columbus,MA,17456,MRN486649,Osteoarthritis,2025-10-20,172/65,99,98.5,76.9,187,80,265
P0064,Andrew,Lee,292-51-8792,1943-10-03,82,555-163-8381,andrew.lee14@email.com,5726 Cedar St,San Francisco,WA,32617,MRN141043,Depression,2024-12-01,146/88,93,98.3,61.1,173,142,249
P0065,Anthony,Harris,446-96-1857,1965-11-10,60,555-437-2548,anthony.harris72@email.com,6433 Maple Rd,Denver,IL,53694,MRN185461,UTI,2024-12-24,108/82,79,99.4,98.9,175,103,171
P0066,Karen,Moore,485-92-6381,1990-12-29,34,555-819-9624,karen.moore12@email.com,7037 Elm Rd,Boston,AZ,50483,MRN289019,Chronic Kidney Disease,2025-06-07,152/72,74,99.5,60.8,168,95,279
P0067,Paul,Clark,856-77-1618,1964-02-01,61,555-234-7172,paul.clark20@email.com,2758 Oak Dr,Phoenix,CO,67366,MRN145814,Sleep Apnea,2025-05-26,176/106,75,99.4,92.7,178,129,286
P0068,Jessica,Martinez,928-70-4178,1960-01-02,65,555-684-8218,jessica.martinez60@email.com,4716 Pine Dr,San Francisco,PA,31241,MRN956572,Chronic Kidney Disease,2025-01-23,107/76,63,98.6,111.2,185,96,282
P0069,Linda,Martinez,185-30-5469,1950-03-30,75,555-250-8167,linda.martinez12@email.com,3737 Pine Rd,Boston,PA,16980,MRN515712,Cancer,2025-05-21,120/84,65,97.9,52.0,156,155,187
P0070,William,Johnson,393-70-3273,1947-05-03,78,555-730-1086,william.johnson11@email.com,411 Maple Ave,Houston,OH,89807,MRN653408,Sleep Apnea,2025-10-03,126/75,79,97.3,66.7,190,187,166
P0071,Linda,Clark,611-86-9782,2005-01-14,20,555-627-4963,linda.clark92@email.com,2452 Maple Blvd,Boston,NC,56244,MRN352249,UTI,2025-04-29,113/102,65,98.3,75.2,183,199,279
P0072,Emily,Smith,499-70-1713,1958-06-07,67,555-359-1266,emily.smith46@email.com,1206 Maple Ave,Los Angeles,NC,53583,MRN239890,Hypertension,2025-06-01,159/81,71,99.1,97.9,194,192,196
P0073,William,Williams,833-68-1605,1970-08-31,55,555-144-4268,william.williams6@email.com,5270 Maple Dr,Jacksonville,OH,72049,MRN365618,Hypertension,2025-01-01,114/78,82,99.2,53.3,191,154,219
P0074,Linda,Sanchez,476-65-7553,1951-06-03,74,555-447-4060,linda.sanchez64@email.com,8251 Maple Dr,San Diego,NY,65640,MRN182760,Sleep Apnea,2025-01-24,113/94,78,97.8,55.6,192,145,228
P0075,Mark,Martin,834-64-3730,1951-06-21,74,555-557-1693,mark.martin94@email.com,5876 Elm Blvd,San Diego,WA,17518,MRN178686,Migraine,2025-01-06,141/83,92,99.0,97.6,151,106,262
P0076,John,Jones,168-40-7001,1961-06-01,64,555-680-1530,john.jones78@email.com,2613 Cedar Blvd,Austin,AZ,68188,MRN900152,Asthma,2025-02-08,107/93,83,98.0,95.5,165,99,156
P0077,Elizabeth,Thomas,630-59-2929,1974-07-31,51,555-820-8311,elizabeth.thomas28@email.com,4778 Cedar Blvd,Philadelphia,NY,27790,MRN994253,Asthma,2025-04-11,112/105,88,99.5,106.7,170,158,166
P0078,Emily,Moore,397-48-3580,1985-06-06,40,555-620-4673,emily.moore16@email.com,3392 Oak Ave,Charlotte,MA,57303,MRN680933,UTI,2025-05-24,149/95,68,98.5,56.0,169,171,272
P0079,Kimberly,Wilson,887-62-2208,1991-06-28,34,555-757-2215,kimberly.wilson58@email.com,7732 Cedar Dr,Austin,IL,82260,MRN770872,UTI,2025-08-27,106/87,92,99.3,53.9,157,109,227
P0080,David,Garcia,430-38-6669,1941-07-27,84,555-966-2292,david.garcia33@email.com,3316 Cedar Dr,San Diego,IL,91922,MRN417534,Cellulitis,2025-02-28,101/92,70,98.5,90.6,160,156,294
P0081,John,Clark,984-13-2330,2002-01-10,23,555-889-5336,john.clark84@email.com,3553 Elm Blvd,Denver,WA,13969,MRN622230,GERD,2025-02-22,127/101,79,98.2,106.3,193,173,226
P0082,Sandra,Williams,805-17-3589,1951-05-19,74,555-595-8609,sandra.williams27@email.com,5673 Elm Ave,San Jose,CO,51853,MRN869864,Hyperlipidemia,2025-05-08,106/108,83,98.3,57.4,165,189,181
P0083,Sarah,Anderson,353-28-2586,2001-07-09,24,555-493-7850,sarah.anderson32@email.com,2716 Maple Dr,San Jose,CA,30885,MRN622469,Cancer,2025-04-03,153/79,91,97.1,116.2,182,187,211
P0084,Susan,Jackson,461-16-1828,1971-04-03,54,555-711-8710,susan.jackson37@email.com,8893 Main St,Fort Worth,IL,44664,MRN862847,Hyperlipidemia,2025-05-06,136/62,85,97.1,89.3,173,143,168
P0085,Matthew,Taylor,561-80-5582,1992-10-02,33,555-199-7453,matthew.taylor48@email.com,5655 Elm Rd,Houston,CA,88966,MRN633853,Obesity,2025-03-17,95/62,62,97.3,73.3,180,186,188
P0086,Joshua,Lewis,627-27-6373,1967-09-21,58,555-502-5902,joshua.lewis76@email.com,5611 Elm Dr,Indianapolis,FL,83783,MRN414353,Stroke,2025-11-20,137/81,67,99.4,90.9,194,76,271
P0087,Thomas,Lee,901-84-4728,2001-02-09,24,555-591-3793,thomas.lee68@email.com,6329 Oak Ave,New York,NC,24404,MRN300051,Diabetes Type 2,2025-04-17,130/86,69,98.0,64.3,182,190,165
P0088,William,Taylor,312-81-6325,1946-03-24,79,555-485-6140,william.taylor23@email.com,7631 Elm Rd,Indianapolis,AZ,98587,MRN909489,Osteoporosis,2024-12-15,172/104,76,98.5,63.5,165,141,292
P0089,Karen,Davis,404-46-4396,1945-07-09,80,555-591-6714,karen.davis72@email.com,4580 Maple St,Seattle,WA,81197,MRN498138,Obesity,2025-06-05,108/78,62,97.7,100.0,172,183,215
P0090,Donald,Miller,306-78-5442,1935-12-30,89,555-378-3249,donald.miller14@email.com,9714 Oak Ave,New York,WA,79604,MRN336633,GERD,2025-08-01,96/66,86,97.8,83.1,193,105,151
P0091,Emily,Robinson,261-62-8793,1946-01-19,79,555-304-5706,emily.robinson42@email.com,4776 Cedar St,Chicago,WA,85252,MRN343500,Pneumonia,2025-11-09,112/86,71,99.3,52.5,175,196,197
P0092,Charles,Lewis,138-11-5888,1935-02-16,90,555-209-6489,charles.lewis37@email.com,7544 Cedar Dr,San Francisco,FL,27589,MRN992400,Cancer,2025-04-03,124/72,67,97.8,101.2,191,135,197
P0093,James,White,445-47-4164,1985-01-30,40,555-976-7643,james.white55@email.com,8542 Maple St,Jacksonville,WA,22502,MRN293757,Coronary Artery Disease,2025-03-29,131/75,60,97.7,66.5,167,154,227
P0094,Donna,White,686-11-5285,1960-12-25,64,555-341-2017,donna.white86@email.com,2036 Pine Rd,Phoenix,PA,99925,MRN626930,Back Pain,2025-06-22,178/67,100,99.3,70.7,189,126,206
P0095,William,Thomas,256-68-7121,1953-12-22,71,555-662-8714,william.thomas97@email.com,8906 Cedar Ave,San Antonio,WA,88094,MRN925618,Asthma,2025-03-04,147/93,83,97.2,89.5,153,199,201
P0096,Andrew,Moore,253-31-6375,1941-05-07,84,555-219-4365,andrew.moore92@email.com,9654 Pine St,San Francisco,FL,17292,MRN575458,Coronary Artery Disease,2025-03-11,143/89,96,97.1,82.4,169,75,251
P0097,Thomas,Clark,103-37-2196,2002-05-02,23,555-452-2044,thomas.clark70@email.com,1087 Main Blvd,New York,TX,63591,MRN288724,Hypothyroidism,2025-09-20,172/106,86,97.9,112.4,178,166,246
P0098,Jennifer,Perez,777-79-3178,1963-10-15,62,555-282-9802,jennifer.perez51@email.com,8764 Oak Ave,Boston,MA,49107,MRN585494,Migraine,2025-02-23,144/94,84,99.1,67.3,172,109,220
P0099,Richard,Robinson,996-24-1527,1954-02-05,71,555-884-1256,richard.robinson31@email.com,3476 Main St,Denver,MA,68515,MRN726822,Migraine,2024-12-03,96/75,62,98.0,66.4,163,84,185
P0100,Steven,Martinez,339-83-6224,1934-02-18,91,555-891-6253,steven.martinez31@email.com,5044 Oak Dr,San Antonio,PA,49387,MRN388519,Hypertension,2025-02-16,165/107,71,98.6,79.9,181,82,238
P0101,Matthew,Sanchez,637-50-7821,1955-10-01,70,555-407-7167,matthew.sanchez24@email.com,8913 Pine Ave,San Antonio,TX,28920,MRN944917,Atrial Fibrillation,2025-10-30,161/86,86,98.4,59.4,165,135,202
P0102,Nancy,Lee,180-67-7079,1996-03-06,29,555-841-4120,nancy.lee7@email.com,4498 Pine Dr,Denver,MA,19539,MRN297303,Hypothyroidism,2025-02-01,175/95,73,98.2,110.9,171,147,153
P0103,Susan,Robinson,294-25-8846,1975-12-20,49,555-718-4350,susan.robinson51@email.com,4021 Elm Rd,Dallas,PA,71112,MRN659572,GERD,2025-05-29,129/76,83,98.3,84.8,156,190,231
P0104,Susan,Lopez,420-62-1749,1935-08-30,90,555-859-3390,susan.lopez3@email.com,4372 Elm Dr,Seattle,CO,64732,MRN409531,Coronary Artery Disease,2025-08-20,132/74,84,98.4,67.2,185,156,215
P0105,Ashley,White,757-72-8550,1986-06-11,39,555-273-3293,ashley.white93@email.com,9054 Pine Ave,Indianapolis,WA,17698,MRN649395,Hypertension,2025-10-21,175/63,60,98.0,109.0,164,87,188
P0106,James,Miller,617-68-7114,2000-01-23,25,555-753-8916,james.miller85@email.com,8093 Main St,Indianapolis,OH,63914,MRN112426,Diabetes Type 2,2025-03-02,125/94,78,97.0,106.9,193,180,195
P0107,Michael,Robinson,198-77-3439,1977-09-03,48,555-734-9625,michael.robinson33@email.com,5907 Maple Blvd,Chicago,AZ,63218,MRN581294,UTI,2025-07-27,179/74,79,98.7,109.4,191,78,173
P0108,Betty,Gonzalez,486-80-8798,2000-01-13,25,555-109-3807,betty.gonzalez11@email.com,8289 Pine Rd,Seattle,NY,79226,MRN144618,Depression,2025-08-12,178/96,90,97.7,114.7,193,141,289
P0109,Andrew,Perez,133-32-6152,2005-08-19,20,555-701-3362,andrew.perez97@email.com,6625 Main Rd,Phoenix,NC,41519,MRN694223,Obesity,2024-12-17,159/81,84,98.9,59.8,194,90,278
P0110,Daniel,Johnson,200-65-4803,1998-06-14,27,555-719-7499,daniel.johnson42@email.com,585 Cedar Rd,Columbus,FL,39902,MRN473095,Pneumonia,2025-05-20,145/71,97,98.7,56.0,189,145,213
P0111,Robert,Williams,374-29-7225,1988-05-22,37,555-424-6909,robert.williams14@email.com,1599 Main Rd,Columbus,AZ,45358,MRN207197,Coronary Artery Disease,2025-10-15,113/87,88,98.4,85.9,156,76,172
P0112,Daniel,Moore,195-86-6315,1958-12-09,67,555-398-7779,daniel.moore50@email.com,1487 Cedar Dr,San Antonio,NC,78302,MRN277820,Migraine,2025-05-18,111/68,77,97.8,84.5,154,112,261
P0113,Sarah,Wilson,406-71-2260,1961-08-08,64,555-352-9123,sarah.wilson77@email.com,3303 Pine St,Houston,TX,10887,MRN514913,Rheumatoid Arthritis,2025-01-15,138/81,88,97.8,107.1,191,104,226
P0114,Christopher,Martin,811-35-8848,1967-09-14,58,555-507-6228,christopher.martin38@email.com,8144 Elm Ave,San Jose,PA,46739,MRN956156,Obesity,2025-05-26,104/96,72,98.5,88.2,193,76,268
P0115,Susan,Anderson,916-47-2133,1955-01-06,70,555-611-3280,susan.anderson82@email.com,5061 Oak Rd,Houston,CO,65460,MRN927406,Obesity,2025-10-22,147/98,90,98.5,87.4,194,177,289
P0116,John,Sanchez,468-99-9796,1931-01-30,94,555-187-2791,john.sanchez99@email.com,4167 Cedar Rd,Phoenix,WA,90304,MRN146448,UTI,2025-01-02,176/101,85,99.4,73.2,177,97,152
P0117,Michael,Rodriguez,327-75-9499,1936-02-27,89,555-804-4621,michael.rodriguez58@email.com,6229 Pine Blvd,Seattle,CO,75597,MRN258067,Hyperlipidemia,2025-11-16,151/66,78,98.0,117.3,157,106,239
P0118,Karen,Hernandez,566-36-9537,1946-06-23,79,555-587-2599,karen.hernandez57@email.com,7512 Maple St,Dallas,MA,25084,MRN123682,Rheumatoid Arthritis,2025-01-01,103/103,70,99.3,101.8,183,114,291
P0119,David,Hernandez,673-64-8570,1978-05-17,47,555-744-4022,david.hernandez24@email.com,7180 Pine St,Denver,CA,68926,MRN720970,Sleep Apnea,2025-05-13,90/105,73,97.5,102.7,154,96,287
P0120,Elizabeth,Lopez,433-35-8496,1993-07-25,32,555-786-9019,elizabeth.lopez68@email.com,5234 Elm Blvd,Denver,PA,86939,MRN219781,Hyperlipidemia,2025-06-01,148/99,71,99.0,99.4,169,91,184
P0121,Christopher,Brown,344-49-2916,1984-05-31,41,555-810-3316,christopher.brown66@email.com,6464 Pine Dr,Houston,NC,60293,MRN543588,Heart Failure,2025-03-24,171/94,71,98.4,84.3,158,117,230
P0122,Mark,Martin,154-55-1157,1945-10-10,80,555-299-7290,mark.martin72@email.com,8381 Cedar Blvd,Fort Worth,WA,74451,MRN535820,Back Pain,2025-04-15,152/70,65,98.4,105.7,164,144,158
P0123,Sarah,Davis,650-46-3755,1949-03-03,76,555-860-9115,sarah.davis71@email.com,8469 Main Dr,Los Angeles,TX,81186,MRN963274,Hyperlipidemia,2025-02-24,95/108,88,98.4,119.3,156,133,226
P0124,John,Anderson,369-54-2425,1951-10-18,74,555-894-4882,john.anderson27@email.com,9732 Cedar Rd,Denver,WA,66120,MRN274044,Cellulitis,2025-09-18,116/73,63,98.4,87.3,188,113,232
P0125,Charles,Martinez,686-44-9428,1995-09-28,30,555-868-7743,charles.martinez8@email.com,4643 Cedar Ave,Houston,CA,29168,MRN845951,Rheumatoid Arthritis,2025-07-25,176/85,91,97.4,94.3,190,176,246
